timestamp,RunPeriod,Interval,Median energy [keV]
1.5094e+09,30/10/2017,30,2.9252
1.5094e+09,30/10/2017,30,3.0382
1.5094e+09,30/10/2017,30,3.004
1.5094e+09,30/10/2017,30,3.361
1.5094e+09,30/10/2017,30,2.7757
1.5094e+09,30/10/2017,30,2.9512
1.5094e+09,30/10/2017,30,2.9508
1.5094e+09,30/10/2017,30,3.0984
1.5094e+09,30/10/2017,30,2.8612
1.5094e+09,30/10/2017,30,3.2501
1.5094e+09,30/10/2017,30,3.1199
1.5094e+09,30/10/2017,30,2.8665
1.5094e+09,30/10/2017,30,2.9319
1.5094e+09,30/10/2017,30,3.0132
1.5094e+09,30/10/2017,30,2.7495
1.5094e+09,30/10/2017,30,2.9101
1.5094e+09,30/10/2017,30,2.7159
1.5094e+09,30/10/2017,30,2.9683
1.5094e+09,30/10/2017,30,3.0547
1.5094e+09,30/10/2017,30,2.9148
1.5094e+09,30/10/2017,30,3.0221
1.5094e+09,30/10/2017,30,2.6622
1.5094e+09,30/10/2017,30,3.1448
1.5094e+09,30/10/2017,30,2.798
1.5094e+09,30/10/2017,30,2.7024
1.5094e+09,30/10/2017,30,3.0354
1.5094e+09,30/10/2017,30,2.7039
1.5094e+09,30/10/2017,30,3.0086
1.5094e+09,30/10/2017,30,3.3364
1.5094e+09,30/10/2017,30,3.5164
1.5094e+09,30/10/2017,30,2.9964
1.5094e+09,30/10/2017,30,3.0764
1.5094e+09,30/10/2017,30,3.0481
1.5094e+09,30/10/2017,30,2.9089
1.5094e+09,30/10/2017,30,3.0569
1.5094e+09,30/10/2017,30,2.9244
1.5095e+09,30/10/2017,30,3.1456
1.5095e+09,30/10/2017,30,2.7797
1.5095e+09,30/10/2017,30,3.0406
1.5095e+09,30/10/2017,30,2.4733
1.5095e+09,30/10/2017,30,2.7264
1.5095e+09,30/10/2017,30,3.237
1.5095e+09,30/10/2017,30,2.8074
1.5095e+09,30/10/2017,30,2.6776
1.5095e+09,30/10/2017,30,3.0232
1.5095e+09,30/10/2017,30,2.9863
1.5095e+09,30/10/2017,30,3.0447
1.5095e+09,30/10/2017,30,2.6354
1.5095e+09,30/10/2017,30,3.2031
1.5095e+09,30/10/2017,30,3.122
1.5095e+09,30/10/2017,30,2.8525
1.5095e+09,30/10/2017,30,3.0621
1.5095e+09,30/10/2017,30,3.2474
1.5095e+09,30/10/2017,30,2.9948
1.5095e+09,30/10/2017,30,3.2797
1.5095e+09,30/10/2017,30,3.0655
1.5095e+09,30/10/2017,30,2.9281
1.5095e+09,30/10/2017,30,3.1039
1.5095e+09,30/10/2017,30,2.9367
1.5095e+09,30/10/2017,30,3.0086
1.5095e+09,30/10/2017,30,3.426
1.5095e+09,30/10/2017,30,2.8073
1.5095e+09,30/10/2017,30,3.07
1.5095e+09,30/10/2017,30,2.8704
1.5095e+09,30/10/2017,30,2.9879
1.5095e+09,30/10/2017,30,2.8844
1.5095e+09,30/10/2017,30,2.8024
1.5095e+09,30/10/2017,30,2.985
1.5095e+09,30/10/2017,30,2.7952
1.5095e+09,30/10/2017,30,3.067
1.5095e+09,30/10/2017,30,2.8951
1.5095e+09,30/10/2017,30,2.8
1.5095e+09,30/10/2017,30,3.0297
1.5095e+09,30/10/2017,30,2.9648
1.5095e+09,30/10/2017,30,2.7846
1.5095e+09,30/10/2017,30,2.9828
1.5095e+09,30/10/2017,30,2.9479
1.5095e+09,30/10/2017,30,3.1463
1.5095e+09,30/10/2017,30,2.7198
1.5095e+09,30/10/2017,30,2.6492
1.5095e+09,30/10/2017,30,3.1514
1.5095e+09,30/10/2017,30,3.3925
1.5095e+09,30/10/2017,30,3.3076
1.5095e+09,30/10/2017,30,3.5141
1.5095e+09,30/10/2017,30,3.0545
1.5095e+09,30/10/2017,30,2.8069
1.5095e+09,30/10/2017,30,2.9959
1.5095e+09,30/10/2017,30,3.1994
1.5095e+09,30/10/2017,30,2.8954
1.5095e+09,30/10/2017,30,3.2158
1.5096e+09,30/10/2017,30,3.143
1.5096e+09,30/10/2017,30,2.9399
1.5096e+09,30/10/2017,30,2.8099
1.5096e+09,30/10/2017,30,2.8623
1.5096e+09,30/10/2017,30,2.7469
1.5096e+09,30/10/2017,30,2.637
1.5096e+09,30/10/2017,30,2.5044
1.5096e+09,30/10/2017,30,2.5684
1.5096e+09,30/10/2017,30,2.6558
1.5096e+09,30/10/2017,30,3.0412
1.5096e+09,30/10/2017,30,2.8252
1.5096e+09,30/10/2017,30,2.7681
1.5096e+09,30/10/2017,30,2.9948
1.5096e+09,30/10/2017,30,3.0362
1.5096e+09,30/10/2017,30,2.805
1.5096e+09,30/10/2017,30,2.8598
1.5096e+09,30/10/2017,30,3.402
1.5096e+09,30/10/2017,30,3.2416
1.5096e+09,30/10/2017,30,2.5702
1.5096e+09,30/10/2017,30,2.79
1.5096e+09,30/10/2017,30,2.7377
1.5096e+09,30/10/2017,30,2.8397
1.5096e+09,30/10/2017,30,2.4704
1.5096e+09,30/10/2017,30,2.7861
1.5096e+09,30/10/2017,30,2.6228
1.5096e+09,30/10/2017,30,2.9978
1.5096e+09,30/10/2017,30,4.9512
1.5096e+09,30/10/2017,30,2.7761
1.5096e+09,30/10/2017,30,2.8679
1.5096e+09,30/10/2017,30,2.6496
1.5096e+09,30/10/2017,30,2.8137
1.5096e+09,30/10/2017,30,2.81
1.5096e+09,30/10/2017,30,2.9379
1.5096e+09,30/10/2017,30,3.1453
1.5096e+09,30/10/2017,30,3.4357
1.5096e+09,30/10/2017,30,2.6706
1.5096e+09,30/10/2017,30,2.8232
1.5096e+09,30/10/2017,30,3.0795
1.5096e+09,30/10/2017,30,2.9055
1.5096e+09,30/10/2017,30,2.8385
1.5096e+09,30/10/2017,30,2.8462
1.5096e+09,30/10/2017,30,2.9443
1.5096e+09,30/10/2017,30,2.5823
1.5096e+09,30/10/2017,30,2.6672
1.5096e+09,30/10/2017,30,2.7251
1.5096e+09,30/10/2017,30,2.655
1.5096e+09,30/10/2017,30,3.2411
1.5096e+09,30/10/2017,30,2.657
1.5096e+09,30/10/2017,30,3.0903
1.5096e+09,30/10/2017,30,2.6475
1.5096e+09,30/10/2017,30,2.7985
1.5096e+09,30/10/2017,30,2.4989
1.5096e+09,30/10/2017,30,2.7004
1.5096e+09,30/10/2017,30,2.494
1.5096e+09,30/10/2017,30,3.0164
1.5096e+09,30/10/2017,30,2.9634
1.5097e+09,30/10/2017,30,2.8731
1.5097e+09,30/10/2017,30,3.3377
1.5097e+09,30/10/2017,30,2.892
1.5097e+09,30/10/2017,30,2.739
1.5097e+09,30/10/2017,30,2.8804
1.5097e+09,30/10/2017,30,2.8314
1.5097e+09,30/10/2017,30,2.8818
1.5097e+09,30/10/2017,30,2.6697
1.5097e+09,30/10/2017,30,2.5996
1.5097e+09,30/10/2017,30,3.1012
1.5097e+09,30/10/2017,30,3.0328
1.5097e+09,30/10/2017,30,3.3715
1.5097e+09,30/10/2017,30,2.6495
1.5097e+09,30/10/2017,30,2.7931
1.5097e+09,30/10/2017,30,2.6277
1.5097e+09,30/10/2017,30,3.2567
1.5097e+09,30/10/2017,30,3.2069
1.5097e+09,30/10/2017,30,3.0122
1.5097e+09,30/10/2017,30,2.8368
1.5097e+09,30/10/2017,30,2.9172
1.5097e+09,30/10/2017,30,2.8649
1.5097e+09,30/10/2017,30,2.8933
1.5097e+09,30/10/2017,30,2.7499
1.5097e+09,30/10/2017,30,3.1325
1.5097e+09,30/10/2017,30,3.1493
1.5097e+09,30/10/2017,30,2.8725
1.5097e+09,30/10/2017,30,3.1295
1.5097e+09,30/10/2017,30,2.8784
1.5097e+09,30/10/2017,30,2.7666
1.5097e+09,30/10/2017,30,2.5861
1.5097e+09,30/10/2017,30,2.6779
1.5097e+09,30/10/2017,30,2.8375
1.5097e+09,30/10/2017,30,2.5961
1.5097e+09,30/10/2017,30,2.4886
1.5097e+09,30/10/2017,30,2.9617
1.5097e+09,30/10/2017,30,2.8742
1.5097e+09,30/10/2017,30,2.7102
1.5097e+09,30/10/2017,30,2.8102
1.5097e+09,30/10/2017,30,3.0881
1.5097e+09,30/10/2017,30,2.4283
1.5097e+09,30/10/2017,30,3.005
1.5097e+09,30/10/2017,30,3.0023
1.5097e+09,30/10/2017,30,2.5165
1.5097e+09,30/10/2017,30,2.5261
1.5097e+09,30/10/2017,30,2.7366
1.5097e+09,30/10/2017,30,2.7594
1.5097e+09,30/10/2017,30,3.1769
1.5097e+09,30/10/2017,30,2.7939
1.5097e+09,30/10/2017,30,3.4607
1.5097e+09,30/10/2017,30,3.0541
1.5097e+09,30/10/2017,30,2.8202
1.5097e+09,30/10/2017,30,2.9282
1.5097e+09,30/10/2017,30,2.7119
1.5097e+09,30/10/2017,30,2.712
1.5097e+09,30/10/2017,30,2.7944
1.5097e+09,30/10/2017,30,3.0339
1.5098e+09,30/10/2017,30,2.6937
1.5098e+09,30/10/2017,30,2.7615
1.5098e+09,30/10/2017,30,2.7648
1.5098e+09,30/10/2017,30,2.6263
1.5098e+09,30/10/2017,30,2.9872
1.5098e+09,30/10/2017,30,2.7495
1.5098e+09,30/10/2017,30,2.8258
1.5098e+09,30/10/2017,30,2.7617
1.5098e+09,30/10/2017,30,3.1496
1.5098e+09,30/10/2017,30,2.7754
1.5098e+09,30/10/2017,30,3.1459
1.5098e+09,30/10/2017,30,3.2196
1.5098e+09,30/10/2017,30,2.6299
1.5098e+09,30/10/2017,30,3.0142
1.5098e+09,30/10/2017,30,2.7656
1.5098e+09,30/10/2017,30,3.2418
1.5098e+09,30/10/2017,30,2.8324
1.5098e+09,30/10/2017,30,2.6243
1.5098e+09,30/10/2017,30,2.7524
1.5098e+09,30/10/2017,30,2.6365
1.5098e+09,30/10/2017,30,2.9042
1.5098e+09,30/10/2017,30,2.6664
1.5098e+09,30/10/2017,30,2.8138
1.5098e+09,30/10/2017,30,2.9765
1.5098e+09,30/10/2017,30,2.9071
1.5098e+09,30/10/2017,30,3.1112
1.5098e+09,30/10/2017,30,2.6306
1.5098e+09,30/10/2017,30,2.6283
1.5098e+09,30/10/2017,30,3.005
1.5098e+09,30/10/2017,30,2.7481
1.5098e+09,30/10/2017,30,2.5587
1.5098e+09,30/10/2017,30,2.7683
1.5098e+09,30/10/2017,30,2.8262
1.5098e+09,30/10/2017,30,2.9825
1.5098e+09,30/10/2017,30,3.0069
1.5098e+09,30/10/2017,30,2.7762
1.5098e+09,30/10/2017,30,3.0292
1.5098e+09,30/10/2017,30,2.821
1.5098e+09,30/10/2017,30,2.5421
1.5098e+09,30/10/2017,30,2.9667
1.5098e+09,30/10/2017,30,2.6404
1.5098e+09,30/10/2017,30,2.6964
1.5098e+09,30/10/2017,30,2.6918
1.5098e+09,30/10/2017,30,2.7519
1.5098e+09,30/10/2017,30,2.8141
1.5098e+09,30/10/2017,30,2.6752
1.5098e+09,30/10/2017,30,2.5746
1.5098e+09,30/10/2017,30,2.6362
1.5098e+09,30/10/2017,30,2.5804
1.5098e+09,30/10/2017,30,2.3286
1.5098e+09,30/10/2017,30,2.7183
1.5098e+09,30/10/2017,30,2.8686
1.5098e+09,30/10/2017,30,2.8004
1.5098e+09,30/10/2017,30,2.9755
1.5098e+09,30/10/2017,30,2.6896
1.5098e+09,30/10/2017,30,2.7984
1.5099e+09,30/10/2017,30,2.8019
1.5099e+09,30/10/2017,30,2.5043
1.5099e+09,30/10/2017,30,2.9363
1.5099e+09,30/10/2017,30,3.059
1.5099e+09,30/10/2017,30,2.2377
1.5099e+09,30/10/2017,30,2.827
1.5099e+09,30/10/2017,30,2.8047
1.5099e+09,30/10/2017,30,2.6963
1.5099e+09,30/10/2017,30,3.0845
1.5099e+09,30/10/2017,30,2.7203
1.5099e+09,30/10/2017,30,2.8784
1.5099e+09,30/10/2017,30,2.8287
1.5099e+09,30/10/2017,30,2.6579
1.5099e+09,30/10/2017,30,2.7383
1.5099e+09,30/10/2017,30,2.6817
1.5099e+09,30/10/2017,30,2.9015
1.5099e+09,30/10/2017,30,2.602
1.5099e+09,30/10/2017,30,2.8711
1.5099e+09,30/10/2017,30,2.5966
1.5099e+09,30/10/2017,30,2.672
1.5099e+09,30/10/2017,30,3.0995
1.5099e+09,30/10/2017,30,2.7694
1.5099e+09,30/10/2017,30,2.7594
1.5099e+09,30/10/2017,30,2.6814
1.5099e+09,30/10/2017,30,2.7853
1.5099e+09,30/10/2017,30,2.4787
1.5099e+09,30/10/2017,30,2.7449
1.5099e+09,30/10/2017,30,2.771
1.5099e+09,30/10/2017,30,2.633
1.5099e+09,30/10/2017,30,2.7162
1.5099e+09,30/10/2017,30,3.005
1.5099e+09,30/10/2017,30,2.442
1.5099e+09,30/10/2017,30,2.7931
1.5099e+09,30/10/2017,30,2.5567
1.5099e+09,30/10/2017,30,2.844
1.5099e+09,30/10/2017,30,3.008
1.5099e+09,30/10/2017,30,2.307
1.5099e+09,30/10/2017,30,2.8417
1.5099e+09,30/10/2017,30,2.8402
1.5099e+09,30/10/2017,30,2.7311
1.5099e+09,30/10/2017,30,2.3997
1.5099e+09,30/10/2017,30,2.9716
1.5099e+09,30/10/2017,30,3.282
1.5099e+09,30/10/2017,30,3.0134
1.5099e+09,30/10/2017,30,2.959
1.5099e+09,30/10/2017,30,3.2293
1.5099e+09,30/10/2017,30,2.9604
1.5099e+09,30/10/2017,30,3.1148
1.5099e+09,30/10/2017,30,2.9733
1.5099e+09,30/10/2017,30,2.8475
1.5099e+09,30/10/2017,30,2.463
1.5099e+09,30/10/2017,30,2.499
1.5099e+09,30/10/2017,30,2.5976
1.5099e+09,30/10/2017,30,2.8925
