Date__(UT)__HR:MN,delta,deldot,Timestamp,Type
2017-Oct-31 06:37,0.99272354,-0.752988,1509428220,Trackings
2017-Oct-31 06:38,0.99272323,-0.7525294,1509428280,Trackings
2017-Oct-31 06:39,0.99272293,-0.7520651,1509428340,Trackings
2017-Oct-31 06:40,0.99272263,-0.7515953,1509428400,Trackings
2017-Oct-31 06:41,0.99272233,-0.7511199,1509428460,Trackings
2017-Oct-31 06:42,0.99272203,-0.7506389,1509428520,Trackings
2017-Oct-31 06:43,0.99272173,-0.7501524,1509428580,Trackings
2017-Oct-31 06:44,0.99272143,-0.7496604,1509428640,Trackings
2017-Oct-31 06:45,0.99272113,-0.7491628,1509428700,Trackings
2017-Oct-31 06:46,0.99272082,-0.7486597,1509428760,Trackings
2017-Oct-31 06:47,0.99272052,-0.7481511,1509428820,Trackings
2017-Oct-31 06:48,0.99272022,-0.7476369,1509428880,Trackings
2017-Oct-31 06:49,0.99271992,-0.7471173,1509428940,Trackings
2017-Oct-31 06:50,0.99271963,-0.7465922,1509429000,Trackings
2017-Oct-31 06:51,0.99271933,-0.7460616,1509429060,Trackings
2017-Oct-31 06:52,0.99271903,-0.7455256,1509429120,Trackings
2017-Oct-31 06:53,0.99271873,-0.7449841,1509429180,Trackings
2017-Oct-31 06:54,0.99271843,-0.7444372,1509429240,Trackings
2017-Oct-31 06:55,0.99271813,-0.7438848,1509429300,Trackings
2017-Oct-31 06:56,0.99271783,-0.743327,1509429360,Trackings
2017-Oct-31 06:57,0.99271753,-0.7427638,1509429420,Trackings
2017-Oct-31 06:58,0.99271724,-0.7421952,1509429480,Trackings
2017-Oct-31 06:59,0.99271694,-0.7416212,1509429540,Trackings
2017-Oct-31 07:00,0.99271664,-0.7410418,1509429600,Trackings
2017-Oct-31 07:01,0.99271634,-0.7404571,1509429660,Trackings
2017-Oct-31 07:02,0.99271605,-0.739867,1509429720,Trackings
2017-Oct-31 07:03,0.99271575,-0.7392715,1509429780,Trackings
2017-Oct-31 07:04,0.99271545,-0.7386707,1509429840,Trackings
2017-Oct-31 07:05,0.99271516,-0.7380646,1509429900,Trackings
2017-Oct-31 07:06,0.99271486,-0.7374532,1509429960,Trackings
2017-Oct-31 07:07,0.99271457,-0.7368365,1509430020,Trackings
2017-Oct-31 07:08,0.99271427,-0.7362144,1509430080,Trackings
2017-Oct-31 07:09,0.99271398,-0.7355871,1509430140,Trackings
2017-Oct-31 07:10,0.99271368,-0.7349546,1509430200,Trackings
2017-Oct-31 07:11,0.99271339,-0.7343168,1509430260,Trackings
2017-Oct-31 07:12,0.99271309,-0.7336737,1509430320,Trackings
2017-Oct-31 07:13,0.9927128,-0.7330254,1509430380,Trackings
2017-Oct-31 07:14,0.9927125,-0.7323719,1509430440,Trackings
2017-Oct-31 07:15,0.99271221,-0.7317132,1509430500,Trackings
2017-Oct-31 07:16,0.99271192,-0.7310493,1509430560,Trackings
2017-Oct-31 07:17,0.99271162,-0.7303803,1509430620,Trackings
2017-Oct-31 07:18,0.99271133,-0.729706,1509430680,Trackings
2017-Oct-31 07:19,0.99271104,-0.7290266,1509430740,Trackings
2017-Oct-31 07:20,0.99271075,-0.7283421,1509430800,Trackings
2017-Oct-31 07:21,0.99271046,-0.7276524,1509430860,Trackings
2017-Oct-31 07:22,0.99271016,-0.7269576,1509430920,Trackings
2017-Oct-31 07:23,0.99270987,-0.7262578,1509430980,Trackings
2017-Oct-31 07:24,0.99270958,-0.7255528,1509431040,Trackings
2017-Oct-31 07:25,0.99270929,-0.7248427,1509431100,Trackings
2017-Oct-31 07:26,0.992709,-0.7241276,1509431160,Trackings
2017-Oct-31 07:27,0.99270871,-0.7234075,1509431220,Trackings
2017-Oct-31 07:28,0.99270842,-0.7226823,1509431280,Trackings
2017-Oct-31 07:29,0.99270813,-0.7219521,1509431340,Trackings
2017-Oct-31 07:30,0.99270784,-0.7212168,1509431400,Trackings
2017-Oct-31 07:31,0.99270755,-0.7204766,1509431460,Trackings
2017-Oct-31 07:32,0.99270726,-0.7197314,1509431520,Trackings
2017-Oct-31 07:33,0.99270697,-0.7189813,1509431580,Trackings
2017-Oct-31 07:34,0.99270669,-0.7182262,1509431640,Trackings
2017-Oct-31 07:35,0.9927064,-0.7174661,1509431700,Trackings
2017-Oct-31 07:36,0.99270611,-0.7167011,1509431760,Trackings
2017-Oct-31 07:37,0.99270582,-0.7159313,1509431820,Trackings
2017-Oct-31 07:38,0.99270554,-0.7151565,1509431880,Trackings
2017-Oct-31 07:39,0.99270525,-0.7143768,1509431940,Trackings
2017-Oct-31 07:40,0.99270496,-0.7135923,1509432000,Trackings
2017-Oct-31 07:41,0.99270468,-0.712803,1509432060,Trackings
2017-Oct-31 07:42,0.99270439,-0.7120088,1509432120,Trackings
2017-Oct-31 07:43,0.99270411,-0.7112098,1509432180,Trackings
2017-Oct-31 07:44,0.99270382,-0.710406,1509432240,Trackings
2017-Oct-31 07:45,0.99270354,-0.7095973,1509432300,Trackings
2017-Oct-31 07:46,0.99270325,-0.708784,1509432360,Trackings
2017-Oct-31 07:47,0.99270297,-0.7079658,1509432420,Trackings
2017-Oct-31 07:48,0.99270268,-0.707143,1509432480,Trackings
2017-Oct-31 07:49,0.9927024,-0.7063154,1509432540,Trackings
2017-Oct-31 07:50,0.99270212,-0.705483,1509432600,Trackings
2017-Oct-31 07:51,0.99270183,-0.704646,1509432660,Trackings
2017-Oct-31 07:52,0.99270155,-0.7038043,1509432720,Trackings
2017-Oct-31 07:53,0.99270127,-0.702958,1509432780,Trackings
2017-Oct-31 07:54,0.99270099,-0.702107,1509432840,Trackings
2017-Oct-31 07:55,0.99270071,-0.7012514,1509432900,Trackings
2017-Oct-31 07:56,0.99270042,-0.7003911,1509432960,Trackings
2017-Oct-31 07:57,0.99270014,-0.6995263,1509433020,Trackings
2017-Oct-31 07:58,0.99269986,-0.6986569,1509433080,Trackings
2017-Oct-31 07:59,0.99269958,-0.6977829,1509433140,Trackings
2017-Oct-31 08:00,0.9926993,-0.6969043,1509433200,Trackings
2017-Oct-31 08:01,0.99269902,-0.6960213,1509433260,Trackings
2017-Oct-31 08:02,0.99269875,-0.6951337,1509433320,Trackings
2017-Oct-31 08:03,0.99269847,-0.6942416,1509433380,Trackings
2017-Oct-31 08:04,0.99269819,-0.693345,1509433440,Trackings
2017-Oct-31 08:05,0.99269791,-0.692444,1509433500,Trackings
2017-Oct-31 08:06,0.99269763,-0.6915385,1509433560,Trackings
2017-Oct-31 08:07,0.99269736,-0.6906286,1509433620,Trackings
2017-Oct-31 08:08,0.99269708,-0.6897143,1509433680,Trackings
2017-Oct-31 08:09,0.9926968,-0.6887956,1509433740,Trackings
2017-Oct-31 08:10,0.99269653,-0.6878725,1509433800,Trackings
2017-Nov-02 06:39,0.99219905,-0.7397638,1509601140,Trackings
2017-Nov-02 06:40,0.99219875,-0.7392942,1509601200,Trackings
2017-Nov-02 06:41,0.99219845,-0.7388191,1509601260,Trackings
2017-Nov-02 06:42,0.99219816,-0.7383385,1509601320,Trackings
2017-Nov-02 06:43,0.99219786,-0.7378523,1509601380,Trackings
2017-Nov-02 06:44,0.99219756,-0.7373606,1509601440,Trackings
2017-Nov-02 06:45,0.99219727,-0.7368634,1509601500,Trackings
2017-Nov-02 06:46,0.99219697,-0.7363607,1509601560,Trackings
2017-Nov-02 06:47,0.99219668,-0.7358525,1509601620,Trackings
2017-Nov-02 06:48,0.99219638,-0.7353388,1509601680,Trackings
2017-Nov-02 06:49,0.99219609,-0.7348196,1509601740,Trackings
2017-Nov-02 06:50,0.99219579,-0.734295,1509601800,Trackings
2017-Nov-02 06:51,0.9921955,-0.7337649,1509601860,Trackings
2017-Nov-02 06:52,0.9921952,-0.7332294,1509601920,Trackings
2017-Nov-02 06:53,0.99219491,-0.7326884,1509601980,Trackings
2017-Nov-02 06:54,0.99219462,-0.732142,1509602040,Trackings
2017-Nov-02 06:55,0.99219432,-0.7315901,1509602100,Trackings
2017-Nov-02 06:56,0.99219403,-0.7310329,1509602160,Trackings
2017-Nov-02 06:57,0.99219374,-0.7304703,1509602220,Trackings
2017-Nov-02 06:58,0.99219344,-0.7299023,1509602280,Trackings
2017-Nov-02 06:59,0.99219315,-0.7293289,1509602340,Trackings
2017-Nov-02 07:00,0.99219286,-0.7287501,1509602400,Trackings
2017-Nov-02 07:01,0.99219257,-0.728166,1509602460,Trackings
2017-Nov-02 07:02,0.99219228,-0.7275766,1509602520,Trackings
2017-Nov-02 07:03,0.99219198,-0.7269818,1509602580,Trackings
2017-Nov-02 07:04,0.99219169,-0.7263817,1509602640,Trackings
2017-Nov-02 07:05,0.9921914,-0.7257763,1509602700,Trackings
2017-Nov-02 07:06,0.99219111,-0.7251656,1509602760,Trackings
2017-Nov-02 07:07,0.99219082,-0.7245496,1509602820,Trackings
2017-Nov-02 07:08,0.99219053,-0.7239284,1509602880,Trackings
2017-Nov-02 07:09,0.99219024,-0.7233019,1509602940,Trackings
2017-Nov-02 07:10,0.99218995,-0.7226701,1509603000,Trackings
2017-Nov-02 07:11,0.99218966,-0.7220331,1509603060,Trackings
2017-Nov-02 07:12,0.99218937,-0.7213909,1509603120,Trackings
2017-Nov-02 07:13,0.99218908,-0.7207434,1509603180,Trackings
2017-Nov-02 07:14,0.99218879,-0.7200908,1509603240,Trackings
2017-Nov-02 07:15,0.9921885,-0.7194329,1509603300,Trackings
2017-Nov-02 07:16,0.99218821,-0.7187699,1509603360,Trackings
2017-Nov-02 07:17,0.99218793,-0.7181018,1509603420,Trackings
2017-Nov-02 07:18,0.99218764,-0.7174284,1509603480,Trackings
2017-Nov-02 07:19,0.99218735,-0.71675,1509603540,Trackings
2017-Nov-02 07:20,0.99218706,-0.7160664,1509603600,Trackings
2017-Nov-02 07:21,0.99218678,-0.7153777,1509603660,Trackings
2017-Nov-02 07:22,0.99218649,-0.7146839,1509603720,Trackings
2017-Nov-02 07:23,0.9921862,-0.713985,1509603780,Trackings
2017-Nov-02 07:24,0.99218592,-0.713281,1509603840,Trackings
2017-Nov-02 07:25,0.99218563,-0.712572,1509603900,Trackings
2017-Nov-02 07:26,0.99218534,-0.711858,1509603960,Trackings
2017-Nov-02 07:27,0.99218506,-0.7111389,1509604020,Trackings
2017-Nov-02 07:28,0.99218477,-0.7104147,1509604080,Trackings
2017-Nov-02 07:29,0.99218449,-0.7096856,1509604140,Trackings
2017-Nov-02 07:30,0.99218421,-0.7089515,1509604200,Trackings
2017-Nov-02 07:31,0.99218392,-0.7082124,1509604260,Trackings
2017-Nov-02 07:32,0.99218364,-0.7074683,1509604320,Trackings
2017-Nov-02 07:33,0.99218335,-0.7067193,1509604380,Trackings
2017-Nov-02 07:34,0.99218307,-0.7059654,1509604440,Trackings
2017-Nov-02 07:35,0.99218279,-0.7052065,1509604500,Trackings
2017-Nov-02 07:36,0.9921825,-0.7044428,1509604560,Trackings
2017-Nov-02 07:37,0.99218222,-0.7036741,1509604620,Trackings
2017-Nov-02 07:38,0.99218194,-0.7029006,1509604680,Trackings
2017-Nov-02 07:39,0.99218166,-0.7021222,1509604740,Trackings
2017-Nov-02 07:40,0.99218138,-0.7013389,1509604800,Trackings
2017-Nov-02 07:41,0.9921811,-0.7005508,1509604860,Trackings
2017-Nov-02 07:42,0.99218081,-0.6997579,1509604920,Trackings
2017-Nov-02 07:43,0.99218053,-0.6989602,1509604980,Trackings
2017-Nov-02 07:44,0.99218025,-0.6981577,1509605040,Trackings
2017-Nov-02 07:45,0.99217997,-0.6973505,1509605100,Trackings
2017-Nov-02 07:46,0.99217969,-0.6965384,1509605160,Trackings
2017-Nov-02 07:47,0.99217942,-0.6957217,1509605220,Trackings
2017-Nov-02 07:48,0.99217914,-0.6949002,1509605280,Trackings
2017-Nov-02 07:49,0.99217886,-0.6940739,1509605340,Trackings
2017-Nov-02 07:50,0.99217858,-0.693243,1509605400,Trackings
2017-Nov-02 07:51,0.9921783,-0.6924075,1509605460,Trackings
2017-Nov-02 07:52,0.99217802,-0.6915672,1509605520,Trackings
2017-Nov-02 07:53,0.99217775,-0.6907223,1509605580,Trackings
2017-Nov-02 07:54,0.99217747,-0.6898728,1509605640,Trackings
2017-Nov-02 07:55,0.99217719,-0.6890186,1509605700,Trackings
2017-Nov-02 07:56,0.99217692,-0.6881599,1509605760,Trackings
2017-Nov-02 07:57,0.99217664,-0.6872966,1509605820,Trackings
2017-Nov-02 07:58,0.99217637,-0.6864287,1509605880,Trackings
2017-Nov-02 07:59,0.99217609,-0.6855562,1509605940,Trackings
2017-Nov-02 08:00,0.99217582,-0.6846792,1509606000,Trackings
2017-Nov-02 08:01,0.99217554,-0.6837977,1509606060,Trackings
2017-Nov-02 08:02,0.99217527,-0.6829117,1509606120,Trackings
2017-Nov-02 08:03,0.99217499,-0.6820212,1509606180,Trackings
2017-Nov-02 08:04,0.99217472,-0.6811263,1509606240,Trackings
2017-Nov-02 08:05,0.99217445,-0.6802269,1509606300,Trackings
2017-Nov-02 08:06,0.99217418,-0.679323,1509606360,Trackings
2017-Nov-02 08:07,0.9921739,-0.6784148,1509606420,Trackings
2017-Nov-02 08:08,0.99217363,-0.6775021,1509606480,Trackings
2017-Nov-02 08:09,0.99217336,-0.6765851,1509606540,Trackings
2017-Nov-02 08:10,0.99217309,-0.6756637,1509606600,Trackings
2017-Nov-02 08:11,0.99217282,-0.6747379,1509606660,Trackings
2017-Nov-02 08:12,0.99217255,-0.6738079,1509606720,Trackings
2017-Nov-02 08:13,0.99217228,-0.6728735,1509606780,Trackings
2017-Nov-02 08:14,0.99217201,-0.6719348,1509606840,Trackings
2017-Nov-03 06:41,0.99194177,-0.7319277,1509687660,Trackings
2017-Nov-03 06:42,0.99194148,-0.7314474,1509687720,Trackings
2017-Nov-03 06:43,0.99194118,-0.7309616,1509687780,Trackings
2017-Nov-03 06:44,0.99194089,-0.7304703,1509687840,Trackings
2017-Nov-03 06:45,0.9919406,-0.7299735,1509687900,Trackings
2017-Nov-03 06:46,0.9919403,-0.7294712,1509687960,Trackings
2017-Nov-03 06:47,0.99194001,-0.7289634,1509688020,Trackings
2017-Nov-03 06:48,0.99193972,-0.7284502,1509688080,Trackings
2017-Nov-03 06:49,0.99193943,-0.7279314,1509688140,Trackings
2017-Nov-03 06:50,0.99193913,-0.7274073,1509688200,Trackings
2017-Nov-03 06:51,0.99193884,-0.7268776,1509688260,Trackings
2017-Nov-03 06:52,0.99193855,-0.7263425,1509688320,Trackings
2017-Nov-03 06:53,0.99193826,-0.725802,1509688380,Trackings
2017-Nov-03 06:54,0.99193797,-0.7252561,1509688440,Trackings
2017-Nov-03 06:55,0.99193768,-0.7247047,1509688500,Trackings
2017-Nov-03 06:56,0.99193739,-0.724148,1509688560,Trackings
2017-Nov-03 06:57,0.9919371,-0.7235859,1509688620,Trackings
2017-Nov-03 06:58,0.99193681,-0.7230184,1509688680,Trackings
2017-Nov-03 06:59,0.99193652,-0.7224455,1509688740,Trackings
2017-Nov-03 07:00,0.99193623,-0.7218673,1509688800,Trackings
2017-Nov-03 07:01,0.99193594,-0.7212837,1509688860,Trackings
2017-Nov-03 07:02,0.99193565,-0.7206948,1509688920,Trackings
2017-Nov-03 07:03,0.99193536,-0.7201006,1509688980,Trackings
2017-Nov-03 07:04,0.99193507,-0.7195011,1509689040,Trackings
2017-Nov-03 07:05,0.99193478,-0.7188962,1509689100,Trackings
2017-Nov-03 07:06,0.9919345,-0.7182861,1509689160,Trackings
2017-Nov-03 07:07,0.99193421,-0.7176707,1509689220,Trackings
2017-Nov-03 07:08,0.99193392,-0.71705,1509689280,Trackings
2017-Nov-03 07:09,0.99193363,-0.7164241,1509689340,Trackings
2017-Nov-03 07:10,0.99193335,-0.715793,1509689400,Trackings
2017-Nov-03 07:11,0.99193306,-0.7151566,1509689460,Trackings
2017-Nov-03 07:12,0.99193277,-0.714515,1509689520,Trackings
2017-Nov-03 07:13,0.99193249,-0.7138682,1509689580,Trackings
2017-Nov-03 07:14,0.9919322,-0.7132162,1509689640,Trackings
2017-Nov-03 07:15,0.99193191,-0.712559,1509689700,Trackings
2017-Nov-03 07:16,0.99193163,-0.7118966,1509689760,Trackings
2017-Nov-03 07:17,0.99193134,-0.7112291,1509689820,Trackings
2017-Nov-03 07:18,0.99193106,-0.7105565,1509689880,Trackings
2017-Nov-03 07:19,0.99193077,-0.7098787,1509689940,Trackings
2017-Nov-03 07:20,0.99193049,-0.7091958,1509690000,Trackings
2017-Nov-03 07:21,0.9919302,-0.7085078,1509690060,Trackings
2017-Nov-03 07:22,0.99192992,-0.7078147,1509690120,Trackings
2017-Nov-03 07:23,0.99192964,-0.7071165,1509690180,Trackings
2017-Nov-03 07:24,0.99192935,-0.7064133,1509690240,Trackings
2017-Nov-03 07:25,0.99192907,-0.705705,1509690300,Trackings
2017-Nov-03 07:26,0.99192879,-0.7049916,1509690360,Trackings
2017-Nov-03 07:27,0.9919285,-0.7042733,1509690420,Trackings
2017-Nov-03 07:28,0.99192822,-0.7035499,1509690480,Trackings
2017-Nov-03 07:29,0.99192794,-0.7028215,1509690540,Trackings
2017-Nov-03 07:30,0.99192766,-0.7020882,1509690600,Trackings
2017-Nov-03 07:31,0.99192738,-0.7013499,1509690660,Trackings
2017-Nov-03 07:32,0.99192709,-0.7006066,1509690720,Trackings
2017-Nov-03 07:33,0.99192681,-0.6998584,1509690780,Trackings
2017-Nov-03 07:34,0.99192653,-0.6991052,1509690840,Trackings
2017-Nov-03 07:35,0.99192625,-0.6983472,1509690900,Trackings
2017-Nov-03 07:36,0.99192597,-0.6975842,1509690960,Trackings
2017-Nov-03 07:37,0.99192569,-0.6968163,1509691020,Trackings
2017-Nov-03 07:38,0.99192541,-0.6960436,1509691080,Trackings
2017-Nov-03 07:39,0.99192513,-0.6952661,1509691140,Trackings
2017-Nov-03 07:40,0.99192486,-0.6944836,1509691200,Trackings
2017-Nov-03 07:41,0.99192458,-0.6936964,1509691260,Trackings
2017-Nov-03 07:42,0.9919243,-0.6929044,1509691320,Trackings
2017-Nov-03 07:43,0.99192402,-0.6921075,1509691380,Trackings
2017-Nov-03 07:44,0.99192374,-0.6913059,1509691440,Trackings
2017-Nov-03 07:45,0.99192347,-0.6904995,1509691500,Trackings
2017-Nov-03 07:46,0.99192319,-0.6896883,1509691560,Trackings
2017-Nov-03 07:47,0.99192291,-0.6888725,1509691620,Trackings
2017-Nov-03 07:48,0.99192264,-0.6880519,1509691680,Trackings
2017-Nov-03 07:49,0.99192236,-0.6872266,1509691740,Trackings
2017-Nov-03 07:50,0.99192209,-0.6863966,1509691800,Trackings
2017-Nov-03 07:51,0.99192181,-0.6855619,1509691860,Trackings
2017-Nov-03 07:52,0.99192154,-0.6847226,1509691920,Trackings
2017-Nov-03 07:53,0.99192126,-0.6838786,1509691980,Trackings
2017-Nov-03 07:54,0.99192099,-0.68303,1509692040,Trackings
2017-Nov-03 07:55,0.99192071,-0.6821768,1509692100,Trackings
2017-Nov-03 07:56,0.99192044,-0.681319,1509692160,Trackings
2017-Nov-03 07:57,0.99192017,-0.6804567,1509692220,Trackings
2017-Nov-03 07:58,0.9919199,-0.6795897,1509692280,Trackings
2017-Nov-03 07:59,0.99191962,-0.6787183,1509692340,Trackings
2017-Nov-03 08:00,0.99191935,-0.6778423,1509692400,Trackings
2017-Nov-03 08:01,0.99191908,-0.6769617,1509692460,Trackings
2017-Nov-03 08:02,0.99191881,-0.6760767,1509692520,Trackings
2017-Nov-03 08:03,0.99191854,-0.6751872,1509692580,Trackings
2017-Nov-03 08:04,0.99191827,-0.6742933,1509692640,Trackings
2017-Nov-03 08:05,0.991918,-0.6733949,1509692700,Trackings
2017-Nov-03 08:06,0.99191773,-0.6724921,1509692760,Trackings
2017-Nov-03 08:07,0.99191746,-0.6715849,1509692820,Trackings
2017-Nov-03 08:08,0.99191719,-0.6706733,1509692880,Trackings
2017-Nov-03 08:09,0.99191692,-0.6697573,1509692940,Trackings
2017-Nov-03 08:10,0.99191665,-0.6688369,1509693000,Trackings
2017-Nov-03 08:11,0.99191638,-0.6679122,1509693060,Trackings
2017-Nov-03 08:12,0.99191611,-0.6669832,1509693120,Trackings
2017-Nov-03 08:13,0.99191585,-0.6660499,1509693180,Trackings
2017-Nov-03 08:14,0.99191558,-0.6651123,1509693240,Trackings
2017-Nov-03 08:15,0.99191531,-0.6641704,1509693300,Trackings
2017-Nov-04 06:42,0.99168863,-0.7242197,1509774120,Trackings
2017-Nov-04 06:43,0.99168834,-0.7237345,1509774180,Trackings
2017-Nov-04 06:44,0.99168805,-0.7232438,1509774240,Trackings
2017-Nov-04 06:45,0.99168776,-0.7227475,1509774300,Trackings
2017-Nov-04 06:46,0.99168747,-0.7222458,1509774360,Trackings
2017-Nov-04 06:47,0.99168718,-0.7217387,1509774420,Trackings
2017-Nov-04 06:48,0.99168689,-0.721226,1509774480,Trackings
2017-Nov-04 06:49,0.9916866,-0.7207079,1509774540,Trackings
2017-Nov-04 06:50,0.99168632,-0.7201843,1509774600,Trackings
2017-Nov-04 06:51,0.99168603,-0.7196553,1509774660,Trackings
2017-Nov-04 06:52,0.99168574,-0.7191209,1509774720,Trackings
2017-Nov-04 06:53,0.99168545,-0.718581,1509774780,Trackings
2017-Nov-04 06:54,0.99168516,-0.7180358,1509774840,Trackings
2017-Nov-04 06:55,0.99168487,-0.7174851,1509774900,Trackings
2017-Nov-04 06:56,0.99168459,-0.716929,1509774960,Trackings
2017-Nov-04 06:57,0.9916843,-0.7163676,1509775020,Trackings
2017-Nov-04 06:58,0.99168401,-0.7158008,1509775080,Trackings
2017-Nov-04 06:59,0.99168373,-0.7152286,1509775140,Trackings
2017-Nov-04 07:00,0.99168344,-0.7146511,1509775200,Trackings
2017-Nov-04 07:01,0.99168315,-0.7140683,1509775260,Trackings
2017-Nov-04 07:02,0.99168287,-0.7134801,1509775320,Trackings
2017-Nov-04 07:03,0.99168258,-0.7128866,1509775380,Trackings
2017-Nov-04 07:04,0.99168229,-0.7122878,1509775440,Trackings
2017-Nov-04 07:05,0.99168201,-0.7116837,1509775500,Trackings
2017-Nov-04 07:06,0.99168172,-0.7110744,1509775560,Trackings
2017-Nov-04 07:07,0.99168144,-0.7104597,1509775620,Trackings
2017-Nov-04 07:08,0.99168115,-0.7098399,1509775680,Trackings
2017-Nov-04 07:09,0.99168087,-0.7092147,1509775740,Trackings
2017-Nov-04 07:10,0.99168058,-0.7085844,1509775800,Trackings
2017-Nov-04 07:11,0.9916803,-0.7079488,1509775860,Trackings
2017-Nov-04 07:12,0.99168002,-0.707308,1509775920,Trackings
2017-Nov-04 07:13,0.99167973,-0.706662,1509775980,Trackings
2017-Nov-04 07:14,0.99167945,-0.7060108,1509776040,Trackings
2017-Nov-04 07:15,0.99167917,-0.7053544,1509776100,Trackings
2017-Nov-04 07:16,0.99167888,-0.7046929,1509776160,Trackings
2017-Nov-04 07:17,0.9916786,-0.7040263,1509776220,Trackings
2017-Nov-04 07:18,0.99167832,-0.7033545,1509776280,Trackings
2017-Nov-04 07:19,0.99167804,-0.7026775,1509776340,Trackings
2017-Nov-04 07:20,0.99167776,-0.7019955,1509776400,Trackings
2017-Nov-04 07:21,0.99167747,-0.7013084,1509776460,Trackings
2017-Nov-04 07:22,0.99167719,-0.7006162,1509776520,Trackings
2017-Nov-04 07:23,0.99167691,-0.6999189,1509776580,Trackings
2017-Nov-04 07:24,0.99167663,-0.6992165,1509776640,Trackings
2017-Nov-04 07:25,0.99167635,-0.6985091,1509776700,Trackings
2017-Nov-04 07:26,0.99167607,-0.6977967,1509776760,Trackings
2017-Nov-04 07:27,0.99167579,-0.6970793,1509776820,Trackings
2017-Nov-04 07:28,0.99167551,-0.6963569,1509776880,Trackings
2017-Nov-04 07:29,0.99167523,-0.6956294,1509776940,Trackings
2017-Nov-04 07:30,0.99167495,-0.694897,1509777000,Trackings
2017-Nov-04 07:31,0.99167468,-0.6941596,1509777060,Trackings
2017-Nov-04 07:32,0.9916744,-0.6934173,1509777120,Trackings
2017-Nov-04 07:33,0.99167412,-0.6926701,1509777180,Trackings
2017-Nov-04 07:34,0.99167384,-0.6919179,1509777240,Trackings
2017-Nov-04 07:35,0.99167356,-0.6911608,1509777300,Trackings
2017-Nov-04 07:36,0.99167329,-0.6903989,1509777360,Trackings
2017-Nov-04 07:37,0.99167301,-0.689632,1509777420,Trackings
2017-Nov-04 07:38,0.99167273,-0.6888603,1509777480,Trackings
2017-Nov-04 07:39,0.99167246,-0.6880837,1509777540,Trackings
2017-Nov-04 07:40,0.99167218,-0.6873023,1509777600,Trackings
2017-Nov-04 07:41,0.99167191,-0.6865161,1509777660,Trackings
2017-Nov-04 07:42,0.99167163,-0.6857251,1509777720,Trackings
2017-Nov-04 07:43,0.99167136,-0.6849293,1509777780,Trackings
2017-Nov-04 07:44,0.99167108,-0.6841287,1509777840,Trackings
2017-Nov-04 07:45,0.99167081,-0.6833234,1509777900,Trackings
2017-Nov-04 07:46,0.99167053,-0.6825133,1509777960,Trackings
2017-Nov-04 07:47,0.99167026,-0.6816985,1509778020,Trackings
2017-Nov-04 07:48,0.99166999,-0.680879,1509778080,Trackings
2017-Nov-04 07:49,0.99166971,-0.6800547,1509778140,Trackings
2017-Nov-04 07:50,0.99166944,-0.6792258,1509778200,Trackings
2017-Nov-04 07:51,0.99166917,-0.6783923,1509778260,Trackings
2017-Nov-04 07:52,0.9916689,-0.677554,1509778320,Trackings
2017-Nov-04 07:53,0.99166863,-0.6767112,1509778380,Trackings
2017-Nov-04 07:54,0.99166835,-0.6758637,1509778440,Trackings
2017-Nov-04 07:55,0.99166808,-0.6750116,1509778500,Trackings
2017-Nov-04 07:56,0.99166781,-0.674155,1509778560,Trackings
2017-Nov-04 07:57,0.99166754,-0.6732937,1509778620,Trackings
2017-Nov-04 07:58,0.99166727,-0.672428,1509778680,Trackings
2017-Nov-04 07:59,0.991667,-0.6715576,1509778740,Trackings
2017-Nov-04 08:00,0.99166673,-0.6706828,1509778800,Trackings
2017-Nov-04 08:01,0.99166647,-0.6698035,1509778860,Trackings
2017-Nov-04 08:02,0.9916662,-0.6689196,1509778920,Trackings
2017-Nov-04 08:03,0.99166593,-0.6680313,1509778980,Trackings
2017-Nov-04 08:04,0.99166566,-0.6671386,1509779040,Trackings
2017-Nov-04 08:05,0.99166539,-0.6662414,1509779100,Trackings
2017-Nov-04 08:06,0.99166513,-0.6653397,1509779160,Trackings
2017-Nov-04 08:07,0.99166486,-0.6644337,1509779220,Trackings
2017-Nov-04 08:08,0.99166459,-0.6635233,1509779280,Trackings
2017-Nov-04 08:09,0.99166433,-0.6626085,1509779340,Trackings
2017-Nov-04 08:10,0.99166406,-0.6616894,1509779400,Trackings
2017-Nov-04 08:11,0.9916638,-0.660766,1509779460,Trackings
2017-Nov-04 08:12,0.99166353,-0.6598382,1509779520,Trackings
2017-Nov-04 08:13,0.99166327,-0.6589061,1509779580,Trackings
2017-Nov-04 08:14,0.991663,-0.6579697,1509779640,Trackings
2017-Nov-04 08:15,0.99166274,-0.6570291,1509779700,Trackings
2017-Nov-04 08:16,0.99166248,-0.6560843,1509779760,Trackings
2017-Nov-04 08:17,0.99166221,-0.6551352,1509779820,Trackings
2017-Nov-05 06:43,0.99143949,-0.7163397,1509860580,Trackings
2017-Nov-05 06:44,0.9914392,-0.7158497,1509860640,Trackings
2017-Nov-05 06:45,0.99143892,-0.7153543,1509860700,Trackings
2017-Nov-05 06:46,0.99143863,-0.7148534,1509860760,Trackings
2017-Nov-05 06:47,0.99143834,-0.714347,1509860820,Trackings
2017-Nov-05 06:48,0.99143806,-0.7138352,1509860880,Trackings
2017-Nov-05 06:49,0.99143777,-0.7133179,1509860940,Trackings
2017-Nov-05 06:50,0.99143749,-0.7127952,1509861000,Trackings
